birth_year,generation,country,education_level,occupation,employment_status,monthly_income_eur,age_first_job,months_to_first_job,housing_status,job_satisfaction,life_satisfaction,economic_anxiety
1981,Millennial,Italy,High,Retail,Employed,2338.0,16,35,Own,10,3,10
2004,Gen Z,Germany,Medium,Manufacturing,Employed,1881.0,19,30,With parents,4,8,2
1992,Millennial,Netherlands,Medium,Healthcare,Employed,1761.0,17,29,Own,10,1,8
1957,Baby Boomer,Germany,High,Construction,Employed,3408.0,28,11,Own,4,5,3
1972,Gen X,France,High,Manufacturing,Employed,981.0,18,20,Rent,3,10,1
1949,Baby Boomer,Spain,Low,Retail,Unemployed,2925.0,25,11,Own,9,6,6
1957,Baby Boomer,Czechia,High,Education,Employed,146.0,17,34,Own,5,1,8
1961,Baby Boomer,Netherlands,Medium,Unemployed,Employed,1547.0,25,21,Rent,8,9,7
1994,Millennial,Netherlands,Low,Healthcare,Unemployed,2230.0,24,35,Own,4,2,6
1984,Millennial,Italy,Low,IT,Employed,1020.0,29,7,Rent,3,4,5
1989,Millennial,Czechia,Medium,Retail,Employed,4183.0,21,26,Own,6,7,8
1976,Gen X,Czechia,Medium,Manufacturing,Employed,1554.0,22,26,With parents,6,9,10
1973,Gen X,Sweden,Medium,Finance,Inactive,1482.0,21,35,With parents,6,3,4
1995,Millennial,Spain,Low,Construction,Employed,1576.0,16,6,With parents,2,10,7
2002,Gen Z,France,High,Education,Employed,2725.0,29,2,Rent,6,2,2
1947,Baby Boomer,Poland,High,Construction,Employed,3017.0,20,3,Rent,5,8,9
2000,Gen Z,Germany,High,Finance,Unemployed,1806.0,18,23,Rent,5,9,8
1984,Millennial,Czechia,Medium,Retail,Employed,2485.0,25,7,Rent,3,2,4
1978,Gen X,Italy,Low,Unemployed,Employed,2555.0,23,12,Rent,5,3,7
1984,Millennial,Netherlands,Low,IT,Employed,903.0,29,8,Rent,10,6,1
1971,Gen X,Poland,Low,Manufacturing,Employed,2093.0,22,19,Own,1,3,5
1957,Baby Boomer,France,Medium,Healthcare,Employed,1633.0,24,19,With parents,1,6,2
1989,Millennial,Spain,Medium,Education,Employed,799.0,27,4,Rent,7,6,2
1977,Gen X,Czechia,High,Retail,Unemployed,2392.0,16,4,Own,10,3,2
1950,Baby Boomer,Germany,Medium,Retail,Inactive,3113.0,17,34,Own,7,2,2
1968,Gen X,Czechia,Medium,Retail,Employed,2239.0,17,0,Rent,9,8,5
1963,Baby Boomer,Italy,Medium,Retail,Employed,0.0,16,14,With parents,9,7,4
1960,Baby Boomer,Czechia,Medium,Manufacturing,Employed,1789.0,23,16,Rent,7,9,1
1984,Millennial,Czechia,Medium,Healthcare,Unemployed,1396.0,27,11,With parents,10,1,6
1972,Gen X,Czechia,Low,IT,Employed,3802.0,19,35,With parents,9,1,3
1977,Gen X,Netherlands,Medium,Education,Employed,1895.0,22,14,Rent,10,1,8
2003,Gen Z,Netherlands,Medium,Construction,Unemployed,748.0,25,13,With parents,9,1,2
2003,Gen Z,Poland,Low,Unemployed,Unemployed,2159.0,16,26,With parents,3,5,8
1992,Millennial,Poland,High,Retail,Employed,2772.0,23,21,With parents,4,2,6
1985,Millennial,Germany,High,Finance,Employed,2289.0,26,8,Rent,1,4,5
1957,Baby Boomer,Spain,Low,Retail,Employed,1478.0,23,20,With parents,2,9,10
1987,Millennial,France,Low,Healthcare,Employed,1787.0,26,2,With parents,8,3,6
1989,Millennial,Sweden,High,Healthcare,Unemployed,2889.0,25,30,Own,9,8,6
1969,Gen X,Spain,Low,Unemployed,Employed,2291.0,27,12,Rent,9,9,4
1997,Gen Z,Spain,Medium,Manufacturing,Employed,4023.0,18,1,With parents,9,9,1
1986,Millennial,Spain,Low,Manufacturing,Unemployed,2288.0,24,13,Rent,1,2,2
1980,Gen X,Sweden,Low,Finance,Employed,825.0,20,6,Rent,8,8,8
1971,Gen X,Germany,High,Finance,Employed,2020.0,20,28,Own,5,8,9
1982,Millennial,Sweden,High,Manufacturing,Employed,1693.0,27,3,Own,3,3,4
2004,Gen Z,Germany,Low,Education,Inactive,803.0,29,3,With parents,6,1,8
1951,Baby Boomer,Sweden,Medium,Finance,Employed,2317.0,20,23,With parents,4,1,10
1949,Baby Boomer,France,Low,Manufacturing,Employed,1824.0,16,20,With parents,1,4,6
1987,Millennial,Czechia,Low,Retail,Employed,2334.0,29,27,Rent,3,9,1
1989,Millennial,Spain,High,Manufacturing,Unemployed,3847.0,25,7,Own,2,9,6
2002,Gen Z,Czechia,Medium,Construction,Employed,2084.0,17,16,Own,1,2,7
2001,Gen Z,Germany,Medium,Education,Employed,3122.0,16,8,With parents,10,7,1
1995,Millennial,Sweden,High,Manufacturing,Inactive,2028.0,17,19,Own,9,1,9
1975,Gen X,France,High,Manufacturing,Inactive,2574.0,24,4,Rent,3,5,6
1967,Gen X,Sweden,High,Retail,Inactive,2308.0,24,34,With parents,1,10,8
1986,Millennial,Czechia,Low,Finance,Employed,2441.0,28,28,Own,3,5,8
1954,Baby Boomer,Netherlands,Low,Retail,Inactive,2082.0,29,11,With parents,1,8,9
1976,Gen X,France,Medium,Construction,Employed,3505.0,20,31,Rent,1,9,1
1987,Millennial,Spain,Medium,Construction,Employed,2769.0,19,30,Rent,9,3,6
1997,Gen Z,Italy,High,Unemployed,Employed,2304.0,28,30,With parents,1,6,9
1974,Gen X,Spain,Medium,Retail,Employed,3018.0,17,0,With parents,5,7,8
1983,Millennial,Italy,High,Manufacturing,Employed,2316.0,21,4,Own,5,6,4
1975,Gen X,France,Low,Retail,Employed,3205.0,28,35,Rent,1,9,5
1962,Baby Boomer,Netherlands,High,Healthcare,Unemployed,1138.0,24,11,Rent,9,10,9
1980,Gen X,Czechia,Medium,IT,Employed,4118.0,28,15,With parents,5,4,5
1946,Baby Boomer,Netherlands,High,IT,Employed,2355.0,23,15,Own,2,1,9
1958,Baby Boomer,Germany,Low,Retail,Employed,1173.0,25,20,With parents,7,4,1
1957,Baby Boomer,Netherlands,Medium,Finance,Inactive,2874.0,19,32,With parents,9,10,10
1973,Gen X,Poland,High,Education,Employed,3364.0,21,25,With parents,4,6,9
1956,Baby Boomer,France,Medium,Construction,Employed,1278.0,26,2,Rent,5,6,10
1983,Millennial,Czechia,Medium,Retail,Employed,1775.0,29,22,With parents,9,3,9
1946,Baby Boomer,Czechia,High,Finance,Inactive,3113.0,24,24,With parents,2,2,6
1976,Gen X,Germany,Medium,Retail,Employed,2708.0,25,19,Own,5,8,7
1957,Baby Boomer,Czechia,Medium,Manufacturing,Employed,1804.0,25,35,With parents,6,9,6
1990,Millennial,Netherlands,Low,Construction,Employed,1976.0,26,34,Own,3,10,4
1971,Gen X,France,High,Construction,Inactive,1075.0,19,32,With parents,10,10,7
1993,Millennial,Spain,Medium,Finance,Employed,1311.0,24,4,Rent,9,4,2
1985,Millennial,Netherlands,Medium,Construction,Employed,694.0,27,3,With parents,10,3,3
1961,Baby Boomer,Sweden,Low,Education,Employed,1886.0,23,7,Rent,8,10,4
1984,Millennial,Italy,Medium,Retail,Inactive,2810.0,18,10,With parents,4,1,3
1975,Gen X,France,Low,Healthcare,Employed,1960.0,24,26,Rent,5,2,9
1978,Gen X,Czechia,Low,Finance,Employed,3205.0,28,9,Rent,8,8,4
2004,Gen Z,Germany,Medium,IT,Employed,1619.0,27,19,With parents,10,6,10
1968,Gen X,Spain,Low,Finance,Employed,858.0,20,31,Own,10,6,1
1989,Millennial,Poland,Low,Unemployed,Employed,3239.0,16,26,Rent,1,1,8
1979,Gen X,Spain,Medium,Healthcare,Employed,2531.0,26,17,Rent,8,8,4
1992,Millennial,Netherlands,Low,Construction,Inactive,3305.0,23,25,With parents,6,6,9
1950,Baby Boomer,Italy,Medium,Unemployed,Employed,1897.0,20,34,Own,7,4,9
1963,Baby Boomer,Spain,Low,Healthcare,Inactive,3631.0,20,27,Rent,4,3,9
1974,Gen X,Poland,Medium,Construction,Employed,1231.0,17,0,With parents,6,6,9
1951,Baby Boomer,Sweden,Medium,Healthcare,Inactive,1941.0,24,33,Rent,10,3,7
1954,Baby Boomer,Germany,High,Education,Employed,2567.0,21,25,With parents,10,4,9
1985,Millennial,France,Medium,Education,Employed,1778.0,26,5,With parents,4,10,7
1976,Gen X,Italy,Low,Finance,Employed,2405.0,25,24,Own,10,8,8
1978,Gen X,Poland,Low,Unemployed,Unemployed,3323.0,27,16,With parents,10,7,2
1972,Gen X,Czechia,Medium,Education,Unemployed,2539.0,18,25,Own,2,7,4
2004,Gen Z,Netherlands,High,IT,Employed,2039.0,22,20,With parents,1,6,4
1959,Baby Boomer,Netherlands,Low,Unemployed,Employed,3304.0,17,31,With parents,4,8,4
1974,Gen X,Netherlands,Medium,Construction,Employed,2661.0,22,24,Rent,7,9,3
1981,Millennial,Czechia,Low,Manufacturing,Employed,2193.0,27,31,Own,8,1,1
1973,Gen X,Czechia,Medium,Finance,Employed,2128.0,26,18,Rent,3,3,6
1966,Gen X,Italy,Medium,Retail,Employed,1869.0,17,1,Own,3,8,5
1948,Baby Boomer,Spain,Medium,Retail,Employed,2959.0,26,34,Own,5,1,3
1964,Baby Boomer,Italy,High,Finance,Unemployed,2993.0,20,15,Rent,10,9,7
1976,Gen X,Netherlands,Medium,Manufacturing,Unemployed,3339.0,25,15,Own,10,1,6
1980,Gen X,Sweden,Low,Retail,Employed,2587.0,28,32,Own,7,9,4
1994,Millennial,Poland,Medium,Finance,Unemployed,1710.0,25,23,Rent,4,7,9
1948,Baby Boomer,France,Medium,Finance,Employed,2498.0,28,30,Own,7,6,4
1971,Gen X,France,Medium,Healthcare,Unemployed,1694.0,24,22,Rent,2,9,9
1961,Baby Boomer,Italy,Medium,IT,Employed,2346.0,28,16,With parents,1,10,3
1956,Baby Boomer,Netherlands,Medium,Unemployed,Unemployed,3469.0,24,32,Rent,6,4,7
1966,Gen X,Czechia,Medium,Retail,Employed,3263.0,21,35,Own,4,5,7
1961,Baby Boomer,Germany,High,IT,Employed,3015.0,18,18,With parents,7,10,1
1954,Baby Boomer,Sweden,Medium,Construction,Employed,2180.0,27,20,With parents,1,2,1
1998,Gen Z,Italy,High,Finance,Employed,3006.0,19,18,With parents,1,3,2
1945,Baby Boomer,Netherlands,Low,Manufacturing,Employed,1623.0,19,7,Rent,5,7,4
1966,Gen X,Spain,Medium,Finance,Employed,884.0,24,25,Rent,1,5,2
1970,Gen X,France,High,Retail,Unemployed,2445.0,19,17,With parents,2,8,10
2000,Gen Z,France,Medium,IT,Employed,1862.0,19,13,Own,3,3,10
2003,Gen Z,Sweden,High,Healthcare,Employed,3806.0,20,17,Own,1,3,5
1962,Baby Boomer,France,High,Unemployed,Employed,3669.0,21,27,With parents,8,1,2
1994,Millennial,Germany,Low,Healthcare,Employed,1580.0,23,32,Own,2,1,8
1958,Baby Boomer,Netherlands,Medium,Finance,Employed,2825.0,27,5,Own,2,2,6
1991,Millennial,Netherlands,Low,Manufacturing,Inactive,423.0,16,6,Rent,8,7,3
1973,Gen X,Sweden,High,Construction,Employed,2505.0,20,4,Own,7,9,2
1956,Baby Boomer,Netherlands,High,Unemployed,Employed,2482.0,24,26,Rent,3,6,9
1980,Gen X,Czechia,Low,Education,Employed,1306.0,25,7,With parents,5,5,1
2003,Gen Z,Sweden,Low,Retail,Employed,2349.0,19,32,Own,3,4,6
1979,Gen X,Netherlands,Medium,Finance,Employed,1365.0,23,11,Own,5,4,7
1996,Millennial,Germany,Medium,Healthcare,Employed,2967.0,24,14,Rent,9,7,9
1956,Baby Boomer,Poland,Low,Healthcare,Inactive,2368.0,16,16,Rent,3,1,7
1951,Baby Boomer,Italy,Medium,Manufacturing,Employed,3543.0,23,28,With parents,3,6,4
1973,Gen X,Italy,Medium,Healthcare,Employed,822.0,23,2,With parents,1,1,2
1955,Baby Boomer,Netherlands,Low,Retail,Employed,1419.0,20,10,Own,5,4,6
1977,Gen X,Spain,High,Manufacturing,Inactive,1763.0,25,25,Rent,3,10,10
1950,Baby Boomer,France,High,IT,Unemployed,2641.0,17,5,Rent,3,6,7
1991,Millennial,Germany,High,Manufacturing,Employed,2444.0,27,34,Own,4,2,6
1959,Baby Boomer,Spain,High,Construction,Inactive,2583.0,22,23,Rent,2,5,4
1976,Gen X,Czechia,Low,Retail,Employed,1616.0,29,33,Rent,2,10,7
1995,Millennial,Spain,Medium,Construction,Employed,487.0,26,23,Rent,8,4,10
1955,Baby Boomer,Netherlands,Low,Retail,Unemployed,1516.0,26,18,Rent,3,3,6
2002,Gen Z,Germany,High,IT,Unemployed,3467.0,20,12,Own,4,10,6
1967,Gen X,Italy,High,Finance,Inactive,1642.0,27,8,With parents,2,6,2
1970,Gen X,France,High,Manufacturing,Inactive,2359.0,20,18,With parents,5,7,2
1978,Gen X,Italy,High,Retail,Inactive,2255.0,21,31,Own,9,2,6
1990,Millennial,Spain,Medium,Retail,Employed,2365.0,27,20,With parents,9,6,1
1978,Gen X,Czechia,Medium,IT,Employed,998.0,25,31,Rent,8,10,8
1973,Gen X,France,Medium,Education,Employed,2936.0,23,11,Own,9,1,9
1948,Baby Boomer,Poland,Low,Manufacturing,Unemployed,2111.0,26,28,With parents,9,10,8
1961,Baby Boomer,Spain,Low,Unemployed,Employed,4279.0,16,32,Rent,9,4,10
1979,Gen X,Italy,Medium,Retail,Employed,1864.0,18,0,With parents,10,6,6
1957,Baby Boomer,Italy,Medium,Healthcare,Unemployed,3079.0,27,3,Own,2,3,10
1985,Millennial,Netherlands,Medium,IT,Inactive,1851.0,22,12,With parents,3,9,1
1983,Millennial,Italy,Medium,Education,Employed,3927.0,29,22,With parents,4,3,8
1959,Baby Boomer,Germany,Medium,Education,Employed,2858.0,26,27,With parents,1,4,2
1999,Gen Z,Spain,Medium,IT,Employed,1043.0,24,11,Own,6,5,4
1973,Gen X,Sweden,Medium,Education,Employed,3466.0,25,18,Rent,2,10,1
1973,Gen X,Sweden,Medium,Retail,Employed,2898.0,17,32,Own,4,8,1
1955,Baby Boomer,Czechia,High,Education,Inactive,1780.0,19,17,With parents,5,10,5
1996,Millennial,France,Medium,Manufacturing,Employed,748.0,26,33,Own,4,2,6
1976,Gen X,Italy,Medium,Unemployed,Employed,3278.0,19,29,With parents,6,4,9
1946,Baby Boomer,Netherlands,High,Healthcare,Employed,3755.0,26,5,Rent,10,2,3
1991,Millennial,Netherlands,High,Unemployed,Employed,3207.0,22,3,Rent,10,3,2
1958,Baby Boomer,Italy,High,Unemployed,Employed,2983.0,20,11,With parents,6,3,2
1964,Baby Boomer,Germany,Medium,Retail,Unemployed,2702.0,27,22,Own,9,7,8
1966,Gen X,Netherlands,Low,IT,Unemployed,3153.0,26,27,With parents,9,5,9
1955,Baby Boomer,Sweden,Medium,Healthcare,Employed,1964.0,20,10,Own,1,2,8
1971,Gen X,France,Medium,Finance,Unemployed,567.0,22,27,Own,10,6,3
1947,Baby Boomer,Spain,High,Retail,Employed,2883.0,27,33,With parents,8,4,10
1961,Baby Boomer,Poland,Medium,Healthcare,Employed,2553.0,17,33,Rent,5,2,10
1988,Millennial,Germany,Low,Education,Employed,937.0,23,20,Rent,1,3,8
2000,Gen Z,Czechia,Low,Finance,Employed,226.0,21,35,Own,5,2,10
1972,Gen X,Czechia,Low,IT,Employed,2273.0,20,27,With parents,6,4,6
1973,Gen X,Netherlands,Medium,IT,Employed,2060.0,27,33,With parents,7,3,6
1965,Gen X,Spain,High,Unemployed,Employed,1984.0,16,28,With parents,3,8,9
1991,Millennial,Poland,High,Manufacturing,Employed,2722.0,29,25,Rent,9,4,8
1960,Baby Boomer,Czechia,High,Education,Employed,1529.0,17,12,Rent,3,10,1
1981,Millennial,Italy,Low,Unemployed,Employed,2819.0,21,33,Own,1,3,7
2003,Gen Z,Italy,Medium,Manufacturing,Employed,2825.0,21,18,Rent,3,10,6
1964,Baby Boomer,France,Low,Manufacturing,Employed,0.0,28,7,Rent,7,9,5
1950,Baby Boomer,Poland,Medium,Education,Employed,2138.0,26,28,With parents,10,9,3
1963,Baby Boomer,Italy,High,Retail,Unemployed,2380.0,24,15,With parents,1,3,1
2001,Gen Z,Czechia,Medium,Finance,Employed,2873.0,26,27,Rent,4,4,8
1949,Baby Boomer,Italy,High,Construction,Employed,2694.0,21,29,Own,7,7,3
1947,Baby Boomer,Sweden,Medium,Manufacturing,Employed,624.0,16,22,With parents,3,3,7
2003,Gen Z,Netherlands,Low,Healthcare,Employed,2286.0,27,28,Own,7,10,6
1945,Baby Boomer,Czechia,Low,Finance,Inactive,1966.0,22,19,Rent,4,9,2
2002,Gen Z,Czechia,Medium,Retail,Employed,3167.0,27,16,Rent,7,7,2
2004,Gen Z,Czechia,High,Unemployed,Employed,1121.0,18,25,With parents,9,6,3
1982,Millennial,France,Low,Education,Unemployed,2198.0,23,32,With parents,10,6,3
1959,Baby Boomer,Spain,High,IT,Employed,2984.0,21,13,With parents,5,8,2
1978,Gen X,Czechia,High,Retail,Employed,2884.0,18,30,With parents,3,9,8
1979,Gen X,Italy,Medium,Unemployed,Unemployed,2061.0,18,15,Rent,1,3,1
1993,Millennial,Sweden,High,Manufacturing,Inactive,3262.0,28,20,Rent,3,3,3
1969,Gen X,Czechia,Medium,Healthcare,Employed,1542.0,23,34,With parents,4,8,1
1968,Gen X,Germany,Medium,Unemployed,Employed,2859.0,21,18,Own,2,3,4
1956,Baby Boomer,Germany,High,Finance,Unemployed,3008.0,17,5,With parents,4,4,1
1962,Baby Boomer,Spain,High,Education,Employed,969.0,18,22,With parents,5,7,1
1959,Baby Boomer,Poland,Medium,IT,Employed,3373.0,27,25,With parents,8,7,4
1988,Millennial,France,Medium,Finance,Employed,716.0,21,8,Own,5,2,6
1960,Baby Boomer,Sweden,Low,Healthcare,Employed,2536.0,29,12,With parents,2,2,6
1971,Gen X,Netherlands,Low,Construction,Employed,1778.0,29,14,Rent,1,4,4
1952,Baby Boomer,Sweden,Medium,IT,Employed,3111.0,22,31,Own,9,5,7
2004,Gen Z,Germany,High,Education,Unemployed,2497.0,19,16,Rent,4,6,8
1990,Millennial,Germany,Medium,Finance,Employed,3812.0,23,28,Own,9,7,2
1969,Gen X,Spain,Low,Retail,Employed,3223.0,18,17,Own,9,3,9
1961,Baby Boomer,Poland,Medium,Manufacturing,Employed,2319.0,29,33,With parents,1,1,5
1973,Gen X,Poland,Medium,Education,Unemployed,3285.0,21,24,Rent,7,2,6
1997,Gen Z,Spain,Medium,Unemployed,Employed,2107.0,22,11,Own,6,1,1
1952,Baby Boomer,Czechia,Low,Healthcare,Employed,1220.0,23,14,Rent,2,2,4
1959,Baby Boomer,Sweden,High,Retail,Employed,1788.0,26,23,Own,10,6,7
1971,Gen X,Germany,Low,Finance,Employed,2097.0,19,8,With parents,4,10,6
1990,Millennial,Sweden,Medium,IT,Inactive,0.0,20,19,Own,5,7,2
1994,Millennial,Sweden,High,Retail,Employed,3445.0,21,24,Rent,5,8,7
1996,Millennial,France,Medium,Retail,Employed,2113.0,16,23,Rent,7,8,9
1951,Baby Boomer,Germany,Medium,Healthcare,Unemployed,3068.0,27,25,Rent,10,10,9
1947,Baby Boomer,Poland,Medium,Manufacturing,Employed,2344.0,24,13,Rent,2,7,3
1973,Gen X,Netherlands,Medium,Construction,Employed,813.0,18,4,Own,3,2,6
1988,Millennial,Sweden,Medium,Unemployed,Employed,2271.0,17,28,Own,2,9,1
1997,Gen Z,Germany,Medium,Unemployed,Employed,2092.0,26,7,Own,7,5,4
1968,Gen X,Sweden,High,Retail,Employed,1583.0,22,16,Own,7,4,5
2004,Gen Z,France,High,Retail,Employed,1849.0,26,21,With parents,9,2,9
2002,Gen Z,Czechia,Medium,Manufacturing,Employed,2224.0,26,17,Own,4,8,3
1947,Baby Boomer,Italy,Low,Manufacturing,Employed,0.0,29,26,With parents,4,10,9
1964,Baby Boomer,Germany,Low,IT,Employed,2524.0,19,1,Own,6,4,5
1990,Millennial,Spain,Low,Finance,Unemployed,2744.0,19,0,Own,3,1,3
1959,Baby Boomer,Italy,Medium,Unemployed,Unemployed,2651.0,25,7,Own,3,6,2
1969,Gen X,Sweden,Low,IT,Employed,1947.0,24,20,With parents,9,4,9
1974,Gen X,Spain,Medium,Manufacturing,Inactive,3968.0,22,23,Own,7,7,6
1958,Baby Boomer,Spain,High,Construction,Employed,2660.0,24,1,Own,9,7,6
1951,Baby Boomer,Spain,Medium,Education,Employed,1824.0,16,27,Own,2,10,2
1961,Baby Boomer,Germany,High,Manufacturing,Employed,1085.0,18,33,Rent,4,5,8
1988,Millennial,Poland,High,IT,Employed,972.0,25,11,Rent,8,9,5
1964,Baby Boomer,Sweden,Low,Healthcare,Employed,2560.0,26,4,Rent,9,7,10
1980,Gen X,Italy,High,Healthcare,Employed,2850.0,25,35,With parents,3,10,6
1953,Baby Boomer,France,High,Finance,Employed,2312.0,28,7,Own,8,5,9
1982,Millennial,Poland,Medium,Retail,Employed,2149.0,27,29,With parents,8,8,8
1992,Millennial,Sweden,Low,Construction,Inactive,1895.0,29,9,Own,3,10,9
2001,Gen Z,Czechia,Medium,Healthcare,Employed,2643.0,21,20,With parents,8,2,7
2004,Gen Z,Czechia,High,IT,Employed,1502.0,29,33,Rent,6,6,1
1966,Gen X,Germany,Medium,Healthcare,Unemployed,2182.0,26,33,Own,9,8,1
1998,Gen Z,Spain,Low,Construction,Employed,2283.0,28,3,Rent,1,7,4
1997,Gen Z,France,Medium,Construction,Employed,2719.0,16,10,Rent,9,4,2
1997,Gen Z,Sweden,Medium,Education,Employed,1464.0,29,21,Own,8,1,9
1946,Baby Boomer,Italy,Medium,Manufacturing,Unemployed,1296.0,20,22,With parents,10,3,4
1968,Gen X,Sweden,High,Manufacturing,Unemployed,2245.0,29,33,Rent,8,5,5
1952,Baby Boomer,Poland,Medium,IT,Employed,2386.0,19,29,Rent,8,6,2
1955,Baby Boomer,Czechia,High,Retail,Employed,2195.0,29,24,Own,10,3,9
1957,Baby Boomer,Netherlands,High,Construction,Employed,0.0,19,23,Own,7,2,8
1961,Baby Boomer,Poland,Medium,Manufacturing,Employed,2499.0,29,24,With parents,3,3,7
1952,Baby Boomer,Sweden,Low,Unemployed,Inactive,4512.0,29,29,Rent,6,5,7
1965,Gen X,France,High,Healthcare,Employed,3026.0,27,15,Rent,10,3,8
1962,Baby Boomer,Sweden,High,Construction,Employed,439.0,22,9,With parents,8,8,10
1974,Gen X,Sweden,Low,Education,Employed,1835.0,29,30,Own,8,7,10
1962,Baby Boomer,Germany,Medium,Unemployed,Employed,2024.0,20,10,Own,4,9,7
1990,Millennial,Italy,Medium,Retail,Inactive,1911.0,22,8,Own,8,3,10
1991,Millennial,France,High,Retail,Unemployed,1085.0,16,35,With parents,8,8,7
1975,Gen X,Sweden,High,Retail,Employed,1396.0,26,18,Own,1,9,6
1982,Millennial,Spain,Low,Unemployed,Unemployed,3040.0,29,4,Own,5,8,9
1976,Gen X,Italy,High,Manufacturing,Employed,2872.0,24,11,With parents,7,5,4
1955,Baby Boomer,Poland,Low,Finance,Employed,2100.0,23,9,Rent,8,6,5
1989,Millennial,France,High,Retail,Employed,3053.0,22,13,Rent,9,10,6
1969,Gen X,Poland,Medium,Unemployed,Employed,1609.0,25,19,With parents,6,9,7
1977,Gen X,Czechia,Medium,Unemployed,Employed,1891.0,17,19,Own,10,2,5
2004,Gen Z,Sweden,Low,IT,Employed,1872.0,26,35,Own,5,9,5
1982,Millennial,Poland,Low,Healthcare,Employed,804.0,21,24,Rent,8,1,10
1985,Millennial,Poland,Medium,Finance,Employed,1970.0,29,4,Own,6,10,10
1952,Baby Boomer,Germany,Medium,Education,Employed,3674.0,19,26,Rent,2,6,6
1955,Baby Boomer,Poland,Low,Healthcare,Employed,3576.0,18,1,Rent,9,1,10
1966,Gen X,Spain,Low,IT,Employed,2305.0,28,11,Own,9,1,9
1995,Millennial,Spain,Low,IT,Inactive,2003.0,23,27,Rent,1,3,6
1968,Gen X,Italy,High,Construction,Employed,3792.0,29,12,Rent,9,4,8
1985,Millennial,Sweden,High,Finance,Employed,1978.0,19,20,With parents,5,4,4
1961,Baby Boomer,Netherlands,Low,Healthcare,Employed,1733.0,18,7,Own,9,10,7
1956,Baby Boomer,Czechia,Medium,Manufacturing,Employed,3061.0,26,11,With parents,5,10,5
2001,Gen Z,Poland,Low,Construction,Employed,660.0,20,10,Own,10,5,4
1990,Millennial,Poland,High,IT,Employed,2100.0,28,18,Own,6,6,2
1976,Gen X,France,High,Retail,Employed,2141.0,24,7,Own,9,4,9
1959,Baby Boomer,Germany,Medium,Education,Unemployed,2664.0,25,26,Own,7,7,5
1960,Baby Boomer,Netherlands,High,Unemployed,Employed,1667.0,18,6,Rent,4,2,6
1998,Gen Z,Italy,High,Education,Employed,2047.0,24,20,With parents,6,8,1
1966,Gen X,Czechia,High,IT,Employed,2284.0,19,26,With parents,8,4,4
1972,Gen X,Netherlands,Medium,Retail,Employed,1971.0,27,13,Rent,5,6,5
1964,Baby Boomer,Poland,Medium,Healthcare,Employed,2033.0,25,31,With parents,4,10,4
1977,Gen X,France,Low,Unemployed,Employed,2949.0,19,28,With parents,7,1,2
1954,Baby Boomer,Sweden,Medium,Education,Employed,2723.0,17,23,Own,3,2,1
1984,Millennial,Germany,Medium,Retail,Unemployed,2666.0,27,27,Own,4,4,9
1976,Gen X,Sweden,Low,Retail,Employed,721.0,23,23,Own,7,10,4
1994,Millennial,Italy,Medium,Manufacturing,Unemployed,2587.0,19,1,Own,5,9,8
2004,Gen Z,Netherlands,Medium,IT,Employed,1443.0,18,30,Rent,1,1,8
1977,Gen X,Italy,Low,Retail,Employed,3992.0,28,11,Rent,6,1,4
1946,Baby Boomer,Poland,Medium,Construction,Employed,2192.0,18,0,Rent,9,7,8
1977,Gen X,Italy,High,Healthcare,Employed,2024.0,16,20,With parents,10,10,4
1977,Gen X,Sweden,High,Education,Employed,3567.0,23,28,Own,3,8,6
1985,Millennial,France,Medium,Construction,Inactive,3288.0,28,29,With parents,4,7,5
1957,Baby Boomer,Italy,Medium,Manufacturing,Employed,1987.0,26,0,Own,10,3,1
1974,Gen X,Spain,Medium,Healthcare,Inactive,1141.0,20,21,Own,2,8,9
1977,Gen X,France,Low,Education,Unemployed,613.0,20,7,With parents,3,8,6
1957,Baby Boomer,Netherlands,High,IT,Employed,1257.0,28,12,With parents,5,5,10
1996,Millennial,Germany,Low,Healthcare,Employed,2489.0,19,13,With parents,6,8,9
1970,Gen X,Germany,Low,Unemployed,Employed,2067.0,28,0,Rent,2,2,4
1966,Gen X,Poland,High,Education,Unemployed,1357.0,27,31,With parents,2,9,4
1983,Millennial,Poland,Low,Manufacturing,Inactive,1847.0,29,11,Rent,6,5,4
1946,Baby Boomer,Spain,Medium,Unemployed,Employed,3745.0,20,15,With parents,1,3,2
1982,Millennial,Netherlands,Low,Construction,Employed,3208.0,27,23,Rent,2,6,3
1983,Millennial,Sweden,Low,Education,Employed,3777.0,20,19,With parents,4,6,5
1970,Gen X,Germany,Low,Unemployed,Unemployed,1579.0,24,31,Rent,1,3,4
1990,Millennial,Germany,Low,Retail,Inactive,2926.0,26,26,With parents,5,7,1
2002,Gen Z,Germany,Medium,Manufacturing,Employed,2833.0,21,33,Own,3,8,8
1994,Millennial,Sweden,High,Healthcare,Employed,3522.0,28,21,With parents,10,2,4
1959,Baby Boomer,Germany,Medium,Unemployed,Employed,2210.0,24,2,With parents,1,1,4
1978,Gen X,Italy,High,Finance,Employed,1496.0,23,16,Own,4,10,7
1986,Millennial,Netherlands,Low,Unemployed,Unemployed,1388.0,18,13,Own,1,9,6
1999,Gen Z,France,Medium,IT,Employed,2188.0,17,26,Rent,2,10,2
1988,Millennial,France,Low,Construction,Employed,2270.0,21,19,Own,10,2,4
1993,Millennial,Spain,Medium,Manufacturing,Employed,2445.0,29,30,Rent,7,8,2
